id;fecha;registrada;estado;investigacion;riesgo;titulo;matricula
O16863-26;24/07/2026 07:54;24/07/2026;O;;;Falta de consciencia situacional por revisión de pases de abordar;N743AV
O16839-26;23/07/2026 12:00;24/07/2026;O;;;AVA- PASSENGER DIFFICULTY DURING BOARDING AND DISEMBARKING;N599AV
O16826-26;23/07/2026 01:30;24/07/2026;O;;;REPORTE DE INCIDENTE Y MALESTAR FISICO;
O16310-26;22/07/2026 12:19;22/07/2026;O;;Acceptable (1);AVA- ON BOARD SERVICE DURING TAXI OUT;
O16705-26;20/07/2026 23:35;24/07/2026;O;;;Herida por golpe con asiento pasajero CHD;
O16702-26;20/07/2026 05:30;24/07/2026;O;;;GLG- GALLEY COFFEE MAKER UNAVAILABLE DURING FLIGHT SERVICE;N775AV
O16817-26;18/07/2026 13:00;24/07/2026;O;;;Temperatura de cabina;N481AV
O16667-26;18/07/2026 13:00;24/07/2026;O;;;Temperatura de la cabina;N481AV
O16664-26;18/07/2026 13:00;24/07/2026;O;;;Fatiga por cambio de temperatura;N481AV
O16647-26;18/07/2026 09:10;24/07/2026;O;;;AVA- GO AROUND DUE TO LATE CABIN PREPARATION;HK-5408
O16814-26;17/07/2026 22:00;24/07/2026;O;;;AVA- ADDITIONAL HAND CARRY BAGGAGE REQUEST WITH NO WEIGHT AVAILABLE;
O16781-26;17/07/2026 10:30;24/07/2026;O;;;Apertura dos de los tres medical Kit del avión;N962AV
O16769-26;17/07/2026 06:02;24/07/2026;O;;;pax enfermo;N762AV
O16768-26;17/07/2026 00:09;24/07/2026;O;;;Exceso de equipaje de mano base ORD;N765AV
O16764-26;16/07/2026 17:20;24/07/2026;O;;;Falta de cortina para turno de descanso;N796AV
O16755-26;16/07/2026 11:30;24/07/2026;O;;;AVA- PASSENGER ANKLE INJURY DURING BOARDING;
O16749-26;16/07/2026 09:20;24/07/2026;O;;;AVA- POTENTIAL EVACUATION DELAY DUE TO PASSENGER MOBILITY REQUIREMENTS;N454AV
O16746-26;16/07/2026 01:05;24/07/2026;O;;;Pax disruptivo;HK-5352
O16737-26;14/07/2026 01:10;24/07/2026;O;;;AVA- UNAUTHORIZED AIRCRAFT DEPLANING ATTEMPT WITHOUT SAFETY VEST;
O16734-26;12/07/2026 01:30;24/07/2026;O;;;Incidentes vuelo av 017;N786AV
O15499-26;06/07/2026 22:30;14/07/2026;O;;Acceptable (1);AVA- CATERING OVEN RACKS PAPER ATTACHMENT PRECAUTIONARY;N785AV
O16723-26;26/06/2026 20:00;24/07/2026;O;;;AVA- PASSENGER MEDICAL EVENT WITH LOW OXYGEN SATURATION;N726AV
O13310-26;11/06/2026 19:30;12/06/2026;P;AO;Tolerable (20);AVA- FLIGHT CREW INJURY DURING TURBULENCE;N632AV
O12684-26;02/06/2026 13:20;04/06/2026;P;AO;Acceptable (4);AVA - TURBULENCE DURING DESCENT;N782AV
